title,tag,info,comments,content
球状闪电,豆瓣图书标签: 科幻小说,刘慈欣 / 四川科学技术出版社 / 2005-6 / 22.00元,(56273人评价),在某个离奇的雨夜，一颗球状闪电闯进了少年的视野。它的啸叫低沉中透着尖利，像是一个鬼魂在太古的荒原上吹着埙。当鬼魂奏完乐曲，球状闪电在一瞬间将少年的父母化为灰...
仿生人会梦见电子羊吗？,豆瓣图书标签: 科幻小说,[美] 菲利普·迪克 / 许东华 / 译林出版社 / 2017-10 / 39.80,(7167人评价),“科幻鬼才”菲利普•迪克成长于西方科技文明创造出的崭新辉煌的时代。彼时，人类进入了太空，登上了月球，成功制造出第一台工业用机器人……科技的蓬勃发展也催生出主...
银河帝国：基地七部曲,豆瓣图书标签: 科幻小说,[美] 艾萨克·阿西莫夫 / 叶李华 / 江苏凤凰文艺出版社 / 2015-10-1 / 328.00元,(6002人评价),"人类蜗居在银河系的一个小角落——太阳系，在围绕太阳旋转的第三颗 行星上，生 活了十多万年之久。
人类在这个小小的行星（他们称之为“地球”）上，建立了两百多个..."
神们自己,豆瓣图书标签: 科幻小说,[美] 艾萨克·阿西莫夫 / 崔正男 / 江苏凤凰文艺出版社 / 2014-12-1 / 39.00元,(18262人评价),22世纪，地球可以和平行宇宙进行物质交换，从此拥有了源源不绝的能源。但是，只有几个人才知道危险的真相：地球上的一个无人信任的科学家、能源渐渐枯竭的星球上的一...
2001：太空漫游,豆瓣图书标签: 科幻小说,[英] 阿瑟·克拉克 / 郝明义 / 上海文艺出版社 / 2019-5-10 / 62,(9098人评价),"◆《太空漫游》拓展了人类理解宇宙的宽度、广度和深度。 从普通读者到刘慈欣到NASA科学家，都从中获得启迪。
◆刘慈欣：“我所有作品都是对《太空漫游》的拙劣模..."
醉步男,豆瓣图书标签: 科幻小说,[日]小林泰三 / 丁丁虫 / 北京时代华文书局 / 2019-10-1 / 49.00,(8656人评价),"本书收录时间旅行小说《醉步男》+日式恐怖小说《玩具修理者》。
——————————————
血沼，我以后大概都不会和你相遇了。
话没说完，小竹田在我眼前消失..."
银河系漫游指南,豆瓣图书标签: 科幻小说,[英] 道格拉斯·亚当斯 / 徐百柯 / 四川科学技术出版社 / 2005-6 / 16.00元,(18255人评价),地球被毁灭了，因为要在它所在的地方修建一条超空间快速通道。主人公阿瑟·邓特活下来了，因为他有一位名叫福特·长官的朋友。这位朋友表面上是个找不着工作的演员，其...
最后与最初的人,豆瓣图书标签: 科幻小说,[英] W.奥拉夫·斯塔普雷顿 / 潘震 / 广西科学技术出版社 / 2020-8 / 59.80,(61人评价),欧洲战争后，人类社会在各种动荡、希望和灾难中延续了20亿年，发展出了18代人类。期间经历了多国战争、东西方阵营对峙、第一世界政权、火星人入侵、移民金星、基因...
银河系搭车客指南,豆瓣图书标签: 科幻小说,[英] 道格拉斯·亚当斯 / 姚向辉 / 上海译文出版社 / 2011-7 / 26.00元,(14606人评价),"突如其来的寂静笼罩了地球。这事实上比噪音更加可怕。有一会儿，什么也没有发生。
巨大的飞船一动不动地挂在空中，覆盖了地球上的每个国家。
在黯然退场之前，地球首..."
仿生人会梦见电子羊吗？,豆瓣图书标签: 科幻小说,(美)菲利普·迪克 / 许东华 / 译林出版社 / 2013-9 / 28.00元,(9231人评价),核战后，放射尘让地球上的动物濒临灭绝，地球已不再适合人类居住。为了鼓励残存的人口移民，政府承诺，只要 移民到外 星球，就可以为每个人自动配备一个仿生人帮助其...
海伯利安,豆瓣图书标签: 科幻小说,[美] 丹·西蒙斯 / 潘振华、官善明、李懿 / 吉林出版集团有限责任公司 / 2014-11 / 59.00元,(5751人评价),《海伯利安》于1989年首次出版，横扫全球所有重量级奖项——雨果奖、轨迹奖、西班牙科幻小说首奖、日本星云奖、日本雨果奖、法国宇宙奖，并入围亚瑟•克拉克奖、英...
﻿撒哈拉的故事,豆瓣图书标签: 三毛,三毛 / 哈尔滨出版社 / 2003-8 / 15.80元,(92611人评价),三毛作品中最脍炙人口的《撒哈拉的故事》，由12篇精彩动人的散文结合而成，其中《沙漠中的饭店》，是三毛适应荒凉单调的沙漠生活后，重新拾笔的第一篇文字，自此之后...
撒哈拉的故事,豆瓣图书标签: 三毛,三毛 / 北京十月文艺出版社 / 2011-1-7 / 24.00元,(52459人评价),"★三毛——华文世界里的传奇女子，她的足迹遍及世界各地
★此篇是三毛最受欢迎的作品，倾倒了全世界的华文读者
★封面由台湾著名设计师聂永真倾情设计
★全方位、多..."
哭泣的骆驼,豆瓣图书标签: 三毛,三毛 / 哈尔滨出版社 / 2003-6 / 15.80元,(46418人评价),在《哭泣的骆驼》中，三毛依然恋恋着墨沙漠生活周遭的人与事，《收魂记》、《搭车客》、《逍遥七岛游》、《一个陌生人的死》、《大胡子与我》等篇，情趣盎然；《沙巴军...
梦里花落知多少,豆瓣图书标签: 三毛,三毛 / 北京十月文艺出版社 / 2007-6 / 28.00元,(79325人评价),"《梦里花落知多少》记录了荷西过世后三毛的生活，共23篇。内容均为台湾皇冠出版社81年至88年的初版。
荷西的死对三毛又是一场劫难，因此由《背影》到这本书，在..."
撒哈拉的故事,豆瓣图书标签: 三毛,三毛 / 皇冠出版社 / 1976 / 160 TWD,(187897人评价),"三毛作品中最膾炙人口的《撒哈拉的故事》﹐
由１２篇精采動人的散文結合而成﹐
其中＜沙漠中的飯店＞﹐
是三毛適應荒涼單調的沙漠生活後﹐
重新拾筆的第一篇文字﹐..."
雨季不再来,豆瓣图书标签: 三毛,三毛 / 北京十月文艺出版社 / 2007-7 / 28.00元,(42269人评价),《雨季不再来》以三毛的生命历程为主题，记录了三毛17岁到22岁的成长过程，真实呈现出三毛少女时代的成长感受，辍学、自闭、叛逆，游学西班牙、德国、美国后，渐渐...
撒哈拉的故事,豆瓣图书标签: 三毛,三毛 / 北京十月文艺出版社 / 2017-3-1 / CNY 35.00,(7048人评价),"★搁笔十年之后首次以“三毛”笔名面向读者之作
★流浪文学经典 畅销三十余年热度不减
★与荷西传奇爱情的见证 唤起万千人心中的撒哈拉之梦
在三毛的内心深处，撒..."
万水千山走遍,豆瓣图书标签: 三毛,三毛 / 哈尔滨出版社 / 2003-08 / 13.80,(36134人评价),大地啊，我来到你岸上时原是一个陌生人，住在你房子里时原是一个旅客，而今我离开你的门时却是一个朋友了。 当飞机降落在墨西哥首都的机场时，我的体力已经透支得几乎...
温柔的夜,豆瓣图书标签: 三毛,三毛 / 北京十月文艺出版社 / 2007-5 / 28.00元,(16481人评价),《温柔的夜》记录了三毛在加纳利群岛的生活，共十四篇。
梦里花落知多少,豆瓣图书标签: 三毛,三毛 / 北京十月文艺出版社 / 2011-7-1 / 24.00元,(10770人评价),书中先是记录了三毛与荷西在撒哈拉沙漠结婚，白手成家的生活，而此时她的文学创作生涯也随之开启；后来移居加纳利群岛后，三毛的生活渐趋安定，她的创作也达到了很高的...
稻草人手记,豆瓣图书标签: 三毛,三毛 / 北京十月文艺出版社 / 2009-3 / 18.00元,(15460人评价),"本卷收录散文16篇，其中大部分文章记述了三毛在加纳利群岛上的生活。
《稻草人手记》笔调幽默，点点滴滴尽述生活情趣，一个率性女子不加矫饰的灿然风貌跃然纸上，令..."
雨季不再来,豆瓣图书标签: 三毛,三毛 / 北京十月文艺出版社 / 2011-7-1 / 24.00元,(9010人评价),当三毛还是二毛的时候，她写下了《雨季不再来》，这些在她17~22岁之间所发表的文字，真实地呈现出从青涩敏感的二毛，蜕变为智慧成熟的三毛的成长的过程。而《雨季...
亲爱的三毛,豆瓣图书标签: 三毛,三毛 / 北京十月文艺出版社 / 2017-3 / 32,(678人评价),"她以一支笔坚持看守个人文字上的简单和朴素
从遥远的撒哈拉到敦煌戈壁，她不随波逐流，也不诠释人生，只做生活的见证者
她是我们心中浪漫、洒脱、真性情的永远的三毛..."
万水千山走遍,豆瓣图书标签: 三毛,三毛 / 北京十月文艺出版社 / 2011-7-1 / 24.00元,(7280人评价),主要记录了她在中南美洲和祖国大陆的游历见闻和感受，作为读者，我们不妨跟随她的脚步，也做一次纸上的旅行。书中叙写了墨西哥之行、洪都拉斯之行、巴拿马之行等等，旅...
万水千山走遍,豆瓣图书标签: 三毛,三毛 / 北京十月文艺出版社 / 2009-4 / 20.00元,(6209人评价),《万水千山走遍》内容为：三毛一生足迹遍布世界各地，《万水千山走遍》主要记录了她在中南美洲和祖国大陆的游历见闻和感受，作为读者，我们不妨跟随她的脚步，也做一次...
温柔的夜,豆瓣图书标签: 三毛,"三毛 / 北京出版集团公司,北京十月文艺出版社 / 2011-7-1 / 24.00元",(6256人评价),"此篇承袭《撒哈拉的故事》的风格，形成一种舒缓、沉静的调子，是三毛沙漠故事系列中登峰造极之作。
阅遍种种人情冷暖之后，溢于三毛笔端的依然是对大千世界的真挚动人..."
我的宝贝,豆瓣图书标签: 三毛,三毛 / 北京十月文艺出版社 / 2011-9 / 32.00元,(3723人评价),《三毛全集:我的宝贝》收录三毛走遍万水千山收集的86件宝贝的来历故事及全部精美照片。这些宝贝的价格也许不能用金钱来衡量，但是作者却深深地爱着它们……所有宝贝...
稻草人手记,豆瓣图书标签: 三毛,"三毛 / 北京出版集团公司,北京十月文艺出版社 / 2011-7-1 / 22.00元",(6288人评价),《稻草人手记》记录的是三毛定居加纳利岛后生活中的点点滴滴，语言朴实、简单，其中的情趣与无奈，朴实而谐趣，令人笑叹。也许，正是这样简简单单的生活，才给了三毛无...
梦里花落知多少,豆瓣图书标签: 三毛,三毛 / 北京十月文艺出版社 / 2017-3 / 35.00元,(1214人评价),"她以一支笔坚持看守个人文字上的简单和朴素
从遥远的撒哈拉到敦煌戈壁，她不随波逐流，也不诠释人生，只做生活的见证者
她是我们心中浪漫、洒脱、真性情的永远的三毛..."
送你一匹马,豆瓣图书标签: 三毛,三毛 / 北京十月文艺出版社 / 2011-9 / 22.00元,(4394人评价),《三毛全集:送你一匹马》叙述的是三毛回到台湾后的事情。在台湾，三毛跟父母住在一起，更写了她与父母亲人之间的琐事，这让我们有机会近距离接触三毛的家，接触三毛的...
﻿喜宝,豆瓣图书标签: 亦舒,亦舒 / 新世界出版社 / 2007-2 / 22.00元,(64388人评价),读书就是这样好，无论心不在焉，板着长脸，只要考试及格，就是一个及格的人。你试着拉长脸到社会去试一试。这是一个卖笑的社会。除非能够找到高贵的职业，而高贵的职业...
喜宝,豆瓣图书标签: 亦舒,亦舒 / 南海出版公司 / 2002-10 / 18.00元,(8152人评价),《喜宝》是亦舒精选之一，其它包括：《小玩意》、《人淡如菊》、《烈火》、《香雪海》《没有月亮的晚上》、《没有季节的都会》、《玫瑰的故事》、《开到荼》、《红尘》...
流金岁月,豆瓣图书标签: 亦舒,（香港）亦舒 / 海天出版社 / 1998-06-01 / 9.80元,(9033人评价),朱锁锁和蒋南孙是一对挚友。投入社会后，朱锁锁在红尘中起伏，凭着才智和相貌很快发达起来，蒋南孙则成为一个出色的白领丽人。人事沧桑，岁月无情，她们遍尝了生活的个...
喜宝,豆瓣图书标签: 亦舒,亦舒 / 湖南文艺出版社 / 2017-7 / 39.00元,(1017人评价),亦舒“独家畅销·旧欢如梦辑”收录了亦舒ZUI经典、ZUI知名的5部作品，包括《喜宝》《我的前半生》《玫瑰的故事》《圆舞》《人淡如菊》。该套书经独家授权，进行...
我的前半生,豆瓣图书标签: 亦舒,亦舒 / 新世界出版社 / 2007-8 / 22.00元,(26199人评价),一个三十几岁的美丽女人子君，在家做全职家庭主妇。却被一个平凡女人夺走丈夫，一段婚姻的失败，让女主角不得不坚强，变得更美丽，有了事业，最终遇见一个更值得爱的男...
圆舞,豆瓣图书标签: 亦舒,[加] 亦舒 / 南海出版公司 / 2002-10 / 17.00元,(13498人评价),周承钰被父母抛弃后，傅于琛收其为义女，但两人间的感情却是微妙万千。傅一方面对承钰万分关注，一方面不停地结交女友，甚至两次结婚。承钰则牢记傅教给她的圆舞规则，...
玫瑰的故事,豆瓣图书标签: 亦舒,亦舒 / 新世界出版社 / 2007-5 / 25.00元,(13140人评价),黄玫瑰因美貌而追求者不断，并给她带来诸多烦恼。当她将自己的感情倾注于庄国栋时，庄却绝情而去。极度悲伤的玫瑰赴美留学，并与方协文结婚。十年后，玫瑰与丈夫离婚，...
开到荼蘼,豆瓣图书标签: 亦舒,亦舒 / 新世界出版社 / 2007-9 / 18.00元,(11979人评价),人和本性，也许不会变，但观点、嗜好、习惯、品味，这些都随时日成熟，留于原地不长大是极其可怕的一件事。每一段感情都是一样，开头的时候，看表面情况，简直美得如天...
她比烟花寂寞,豆瓣图书标签: 亦舒,（香港）亦舒 / 海天出版社 / 1996年9月 / 9.80,(13931人评价),姚晶这位当红女影星英年去世，身后的遗产竟没有人想要。生前人们迷幻于她的美丽、财富及豪门夫家，然而有谁知道她内心的苦闷与悲凉，正是这外表的灿烂和内心的寂寞组成...
承欢记,豆瓣图书标签: 亦舒,亦舒 / 天地图书 / 1996-1 / 55,(3926人评价),下午七時，亞熱帶的夏季天空還未完全暗下來，這正是所有人歸隊回家的時候，麥承歡下了車一抬頭，只見整座屋燈光已亮起一半，那幢廉租屋看上去猶如掛滿珠寶纓絡的寶塔。...
阿修罗,豆瓣图书标签: 亦舒,亦舒 / 新世界出版社 / 2009-1 / 20.00元,(6392人评价),阿修罗——佛经中八种神道怪物之一，阿修罗性子执拗、刚烈，能力极大，凡与之接触，倘不蒙他喜悦，就必然遭殃。这虽然是神话，但美丽的少女吴珉珉，似乎就拥有这种神秘...
艳阳天,豆瓣图书标签: 亦舒,亦舒 / 中国妇女出版社 / 2012-2 / 22.00元,(717人评价),《艳阳天》内容简介：故事的女主角周从心是个弃婴，从小被人收养，长大后一个偶然机会得到一本护照，因相貌与护照主人十分相似，从心决定冒名顶替，去美国闯一闯。到美...
流金岁月,豆瓣图书标签: 亦舒,亦舒 / 湖南文艺出版社 / 2018-4-1 / 43.80元,(385人评价),"“一个人对另外一个人好，总有原因。”
朱锁锁与蒋南孙自中学相识，成为挚友。朱锁锁从小借住在舅舅家，过着寄人篱下的生活。蒋南孙的祖母重男轻女，从不看好南孙，锁..."
人淡如菊,豆瓣图书标签: 亦舒,[加] 亦舒 / 新世界出版社 / 2008-5 / 19.00元,(10986人评价),"感情这样东西，无法解释，也只好推给前世，明明没有道理可喻的感情，偏偏这么多……
在英国留学的乔景仰英籍中年教授纳梵的学识和人品，深深地爱上了他。毕业后，乔回..."
我的前半生,豆瓣图书标签: 亦舒,亦舒 / 湖南文艺出版社 / 2017-7 / 39.00元,(915人评价),亦舒“独家畅销·旧欢如梦辑”收录了亦舒ZUI经典、ZUI知名的5部作品，包括《喜宝》《我的前半生》《玫瑰的故事》《圆舞》《人淡如菊》。该套书经独家授权，进行...
流金岁月,豆瓣图书标签: 亦舒,亦舒 / 中国妇女出版社 / 2011-3-1 / 22.00元,(1105人评价),自幼时起，朱锁锁和蒋南孙便是一对挚友。锁锁自幼寄居在舅舅处，一心想逃离寄人篱下的生活；南孙家中倚仗外婆的家产度日，外婆虽一心希望有男孙，对外孙女不甚友好，但...
印度墨,豆瓣图书标签: 亦舒,亦舒 / 花城出版社 / 2006-12 / 19.00元,(5506人评价),一部时尚浪漫的“流行”言情小说。由有着香港文坛两朵奇花之一美称的亦舒所作。她的写作正如她的人，麻利、泼辣，擅于将平凡的字眼变成奇句。
朝花夕拾,豆瓣图书标签: 亦舒,亦舒 / 天地圖書有限公司 / 1986,(3553人评价),"都公元二○三五年了，世情仍然沒有變化，人類仍然落後，女人的生活，仍然乏善足陳，母親們仍然嘮叨，孩子們仍然反叛，生命的意義猶待發掘。
今日，跟一切日子一樣，奇..."
她的二三事,豆瓣图书标签: 亦舒,亦舒 / 新世界出版社 / 2005-11 / 18.00元,(6835人评价),《她的二三事》中的故事很短，但人物却是那样多，异常的丰满。各种个性的女子，各样性格的男子，他们之间淡淡的交错，似缠绕精密的丝线，条条相扣，无法分割。
吃南瓜的人,豆瓣图书标签: 亦舒,亦舒 / 新世界出版社 / 2005-5 / 16.00元,(7961人评价),《吃南瓜的人》讲述一个被爱情欺骗的女人的故事。林结球和王庇德是公司一对隐蔽的恋人，王庇德在一次公差中不幸遇难，林结球怀着对他无限的眷恋不顾上司的劝阻，毅然收...
﻿东方快车谋杀案,豆瓣图书标签: 阿加莎·克里斯蒂,[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元,(102224人评价),午夜过后，一场大雪迫使东方快车停了下来。这辆豪华列车整年都处于满员状态。但那天早上却发现少了一名乘客。一个美国人死在了他的包厢里，他被刺了十二刀，可他包厢的...
无人生还,豆瓣图书标签: 阿加莎·克里斯蒂,[英] 阿加莎・克里斯蒂 / 祁阿红 / 人民文学出版社 / 2008-3 / 19.00,(104627人评价),十个互不相识的人，被富有的欧文先生邀请到了印地安岛上的私人别墅里。晚餐后，一个神秘的声音揭开了人们心中所各自隐藏着的可怕秘密。当天晚上，年轻的马斯顿先生离奇...
无人生还,豆瓣图书标签: 阿加莎·克里斯蒂,[英] 阿加莎·克里斯蒂 / 夏阳 / 新星出版社 / 2013-7 / 28.00元,(37883人评价),"十个素不相识、身份各异的人受邀前往德文郡海岸边一座孤岛上的豪宅。客人到齐后，主人却没有出现。
当晚，一个神秘的声音发出指控，分别说出每个人心中罪恶的秘密。接..."
罗杰疑案,豆瓣图书标签: 阿加莎·克里斯蒂,[英] 阿加莎·克里斯蒂 / 常禾 / 新星出版社 / 2013-3 / 28.00元,(21540人评价),"金斯艾伯特村里坐落着两座豪宅，“皇家围场”是其中之一，而居住其中的弗拉尔斯太太刚刚过世。
此后不久，她的情人，也就是住在另一所大宅里的罗杰•艾克罗伊德先生便..."
东方快车谋杀案,豆瓣图书标签: 阿加莎·克里斯蒂,[英] 阿加莎·克里斯蒂 / 郑桥 / 新星出版社 / 2013-4 / 26.00元,(29308人评价),侦探波洛在叙利亚完成了一项委托，要搭乘辛普朗号东方快车回国。奇怪的是，似乎全世界的人都选在那一夜出行，这列铺位一向宽裕的豪华列车竟然一票难求。幸好他遇到了好...
ABC谋杀案,豆瓣图书标签: 阿加莎·克里斯蒂,[英] 阿加莎·克里斯蒂 / 赵文伟 / 新星出版社 / 2013-6 / 28.00元,(12703人评价),"“那就让我们看看，聪明的波洛先生到底有多聪明。”

化名ABC的连环杀人狂按照列车时刻表的字母顺序，一步步实施杀人计划。他狂妄地向波洛发出挑战书，整个英国因..."
尼罗河上的惨案,豆瓣图书标签: 阿加莎·克里斯蒂,[英] 阿加莎·克里斯蒂 / 张乐敏 / 新星出版社 / 2013-9 / 29.00元,(15302人评价),琳内特•里奇卫拥有一切——年轻、美貌、过人的头脑，而且还继承了巨额财产。但出乎所有人的意料，她闪电般地与自己的地产经纪人，也就是好友奎杰琳的男友多伊尔结了婚...
斯泰尔斯庄园奇案,豆瓣图书标签: 阿加莎·克里斯蒂,[英] 阿加莎·克里斯蒂 / 郑卫明 / 新星出版社 / 2013-3 / 28.00元,(7263人评价),"斯泰尔斯庄园的女主人英格尔索普太太掌管着财政大权。某日凌晨，她在自己的房间里毒发身亡，而房间的三个门都是从里面锁上的。
侦探波洛在调查此案的过程中发现了一系..."
尼罗河上的惨案,豆瓣图书标签: 阿加莎·克里斯蒂,[英] 阿加莎·克里斯蒂 / 宫英海 / 人民文学出版社 / 2006-5 / 22.00元,(37689人评价),"林内特·里奇维被一颗子弹打穿了头颅，尼罗河之旅的宁静也因此被打破。这位年轻，美丽，时尚——拥有一切的女孩，最终失去了自己的生命。
赫尔克里·波洛的耳边回响着..."
无人生还,豆瓣图书标签: 阿加莎·克里斯蒂,[英] 阿加莎·克里斯蒂 / 夏阳 / 新星出版社 / 2016-8 / 35.00元,(26455人评价),"十个相互陌生、身份各异的人受邀前往德文郡海岸边一座孤岛上的豪宅。客人到齐后，主人却没有出现。
当晚，一个神秘的声音发出指控，分别说出每个人心中罪恶的秘密。接..."
五只小猪,豆瓣图书标签: 阿加莎·克里斯蒂,[英] 阿加莎·克里斯蒂 / 周力 / 新星出版社 / 2014-10 / 28.00元,(5732人评价),年轻的卡拉小姐在结婚前夕被告知自己的身世——十六年前她的父亲被杀，而她的母亲被当做杀人凶手死在狱中。大为震惊的同时，她也收到了母亲临死前留给她的信，信中坚称...
帷幕,豆瓣图书标签: 阿加莎·克里斯蒂,[英] 阿加莎·克里斯蒂 / 李杨 / 新星出版社 / 2015-2 / 26.00,(5163人评价),"波洛与挚友黑斯廷斯的探案生涯回到了原点，他们再次相聚于斯泰尔斯庄园——正是在这里，初到英国的波洛解决了第一起谋杀案。
如今的波洛已到风烛残年，但还有一件急迫..."
罗杰疑案,豆瓣图书标签: 阿加莎·克里斯蒂,[英] 阿加莎·克里斯蒂 / 张江云 / 人民文学出版社 / 2006-5 / 21.00元,(28666人评价),"罗杰·艾克罗伊德是个知道得太多的人。
他知道他爱着的女人毒死了她的第一个丈夫。他知道有人在敲诈她——现在他知道她因服用过量药物而自杀身亡。
晚班邮件很快就会..."
悬崖山庄奇案,豆瓣图书标签: 阿加莎·克里斯蒂,[英] 阿加莎·克里斯蒂 / 程云琦 / 新星出版社 / 2013-5 / 28.00元,(4091人评价),山崖上的古宅拥有一位年轻漂亮的主人：尼克•巴克利小姐。她热爱这幢祖屋，然而围绕着屋子却频频发生怪事，威胁到她的生命。她床头的油画莫名其妙地砸了下来，车子刹车...
阳光下的罪恶,豆瓣图书标签: 阿加莎·克里斯蒂,[英] 阿加莎·克里斯蒂 / 于婉青 / 新星出版社 / 2014-8 / 28.00元,(4758人评价),艾莲娜•马歇尔太太是海盗旗旅馆中最令人瞩目的客人。在众多仰慕者中，她很快和英俊的帕特里克•雷德芬如胶似漆。雷德芬太太为此伤心愤怒，马歇尔先生却不动声色。好戏...
高尔夫球场命案,豆瓣图书标签: 阿加莎·克里斯蒂,[英] 阿加莎·克里斯蒂 / 张乐敏 / 新星出版社 / 2014-7 / 28.00,(3167人评价),一封求救信让波洛来到了法国，然而他来得太迟了，因为他的委托人已经被人用裁纸刀刺死，面朝下躺在一座高尔夫球场上的墓穴中。为什么死者身上的大衣长出了一大截？大衣...
长夜,豆瓣图书标签: 阿加莎·克里斯蒂,[英] 阿加莎·克里斯蒂 / 陆烨华 / 新星出版社 / 2014-4-1 / 28.00元,(2982人评价),美丽宁静的吉卜赛庄，却被传言是一所遭受了诅咒的住所，许多擅自进入的人都会在事故中丧生，没有人能够逃脱。然而英俊潇洒的穷小子迈克还是一眼看中了这里，奢望成为这...
底牌,豆瓣图书标签: 阿加莎·克里斯蒂,[英] 阿加莎·克里斯蒂 / 常禾 / 新星出版社 / 2013-7 / 28.00元,(3600人评价),著名富商夏塔纳先生邀请波洛参加一次特殊的私人聚会，同时还邀请了另外三位侦探，包括著名的侦探小说作家、苏格兰场的警司与政府密探。与此同时，到场的还有夏塔纳要展...
谋杀启事,豆瓣图书标签: 阿加莎·克里斯蒂,[英] 阿加莎·克里斯蒂 / 周莎 / 新星出版社 / 2014-8 / 29.00,(2491人评价),"在一个平凡的小村镇，生活着一群普通的英国人。
这个周五，百无聊赖的小镇居民纷纷被报上的一则谋杀启事吸引。它预告今天晚上，在老小姐莱蒂西亚家将有一场神秘的谋杀..."
东方快车谋杀案,豆瓣图书标签: 阿加莎·克里斯蒂,[英] 阿加莎·克里斯蒂 / 郑桥 / 新星出版社 / 2017-7 / 38.00元,(2610人评价),"1节豪华车厢+ 1名死者+12名嫌疑人=阿加莎最负盛名的作品
“这列火车真是座无虚席啊！”
本书以1932年轰动一时的真实案件“林白之子绑架案”为蓝本。
侦..."
﻿天龙八部,豆瓣图书标签: 金庸,金庸 / 生活.读书.新知三联书店 / 1994-5 / 96.0,(106377人评价),天龙八部乃金笔下的一部长篇小说，与《射雕》，《神雕》等 几部长篇小说一起被称为可读性最高的金庸小说。《天龙》的故事情节曲折，内容丰富，也曾多次被改编为电视作...
笑傲江湖（全四册）,豆瓣图书标签: 金庸,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,(91324人评价),《笑傲江湖》是金庸1967年写的一部武侠小说，属于金庸的后期作品。
射雕英雄传（全四册）,豆瓣图书标签: 金庸,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元,(67209人评价),《射雕英雄传》是金庸的代表作之一，作于一九五七年到一九五九年，在《香港商报》连载。《射雕》中的人物个性单纯，郭靖诚朴厚重、黄蓉机智狡狯，读者容易印象深刻。这...
神雕侠侣,豆瓣图书标签: 金庸,金庸 / 有1996年11月北平第4次印本 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,(82723人评价),《神雕侠侣》是金庸作品集之一。其主人公杨过自然而然地走上了非正统的人生道路，入了“道流”。其特点是“至情至性，实现自我”，即把个人的利益、情感、个性及人格尊...
鹿鼎记（全五册）,豆瓣图书标签: 金庸,金庸 / 广州出版社 花城出版社 / 2008-3 / 108.00元,(46825人评价),"《鹿鼎记》是金庸创作的最后一部小说，也是他最重要的代表作。
小说讲的是一个从小在扬州妓院长大的小孩韦小宝，他以不会任何武功之姿态闯江湖各大帮会、周旋皇帝朝臣..."
倚天屠龙记(共四册),豆瓣图书标签: 金庸,金庸 / 三联书店 / 1999-04 / 47.00,(50992人评价),《倚天屠龙记》，金庸武侠小说，著于1961年，是“射雕三部曲”系列第三部，现收录在《金庸作品集》中。该书以元末群雄纷起、江湖动荡为广阔背景，叙述武当弟子张无...
笑傲江湖,豆瓣图书标签: 金庸,金庸 / 广州出版社 / 2011-11 / 98.00元,(3448人评价),名门正派的华山派大弟子令狐冲只因心性自由、不受羁勒，喜欢结交左道人士，被逐出师门，遭到正宗门派武林人士的唾弃而流落江湖。令狐冲依然率性而为，只因正义良知自在...
倚天屠龙记,豆瓣图书标签: 金庸,金庸 / 生活·读书·新知三联书店 / 1994年5月 / 76.80,(17783人评价),《倚天屠龙记》，金庸武侠小说，著于1961年，是“射雕三部曲”系列第三部。该书以元末群雄纷起、江湖动荡为广阔背景，叙述武当弟子张无忌的江湖生涯，表现众武林豪...
天龙八部,豆瓣图书标签: 金庸,金庸 / 广州出版社 / 2011-11 / 123.00元,(3364人评价),《天龙八部(套装共5册)(旧版)》一书以北宋、辽、西夏、大理并立的历史为宏大背景，将儒释道、琴棋书画等中国传统文化融会贯通其中，书中人物繁多，个性鲜明，情节...
射雕英雄传,豆瓣图书标签: 金庸,金庸 / 广州出版社 / 2013-4 / 96.00元,(2825人评价),南宋年间，随丈夫杨铁心流落江南牛家村的包惜弱救了金国王子完颜洪烈，却害得丈夫和义兄郭啸天两家家破人亡。郭啸天的妻子逃到蒙古大漠，生下遗腹子郭靖。傻小子郭靖得...
白马啸西风,豆瓣图书标签: 金庸,金庸 / 海口-南海出版社 / 1993-11,(20741人评价),这是篇言情故事，写出了单恋的种种动人之处。
鹿鼎记,豆瓣图书标签: 金庸,金庸 / 生活·读书·新知三联书店 / 1994-5 / 96.00元,(13051人评价),这是金庸先生最後一部小说，也是登峰造极之作，是金大侠自言最喜欢之大作。          这部小说讲的是一个从小在扬州妓院长大的小孩韦小宝，他不会任何武功，...
射雕英雄传,豆瓣图书标签: 金庸,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,(18638人评价),《射雕英雄传》是金庸的代表作之一，作于一九五七年到一九五九年，在《香港商报》连载。《射雕》中的人物个性单纯，郭靖诚朴厚重、黄蓉机智狡狯，读者容易印象深刻。这...
侠客行,豆瓣图书标签: 金庸,金庸 / 生活·读书·新知三联书店 / 1994-5 / 38.00元,(13478人评价),"《侠客行》著于1965年，据说灵感和书名来自李白的诗作“古风五十九首”之《侠客行》。小说叙述的是一个懵懂少年石破天的江湖经历。
主人公石破天自小没名没姓，和..."
